RECV | PKT: DATA DEST: localhost ACK# : 0 SEQ# 1
RECV | PKT: DATA DEST: localhost ACK# : 4 SEQ# 5
SND  | PKT: DATA DEST: localhost ACK# : 4 SEQ# 5
RECV | PKT: DATA DEST: localhost ACK# : 5 SEQ# 6
SND  | PKT: DATA DEST: localhost ACK# : 5 SEQ# 6
RECV | PKT: DATA DEST: localhost ACK# : 6 SEQ# 7
SND  | PKT: DATA DEST: localhost ACK# : 6 SEQ# 7
RECV | PKT: DATA DEST: localhost ACK# : 4 SEQ# 5
SND  | PKT: DATA DEST: localhost ACK# : 4 SEQ# 5
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 4 SEQ# 5
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 4 SEQ# 5
RECV | PKT: DATA DEST: localhost ACK# : 5 SEQ# 6
SND  | PKT: DATA DEST: localhost ACK# : 5 SEQ# 6
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 5 SEQ# 6
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 5 SEQ# 6
RECV | PKT: DATA DEST: localhost ACK# : 6 SEQ# 7
SND  | PKT: DATA DEST: localhost ACK# : 6 SEQ# 7
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 6 SEQ# 7
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 6 SEQ# 7
RECV | PKT: DATA DEST: localhost ACK# : 7 SEQ# 8
SND  | PKT: DATA DEST: localhost ACK# : 7 SEQ# 8
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 4 SEQ# 5
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 4 SEQ# 5
RECV | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
SND  | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
RECV | PKT: DATA DEST: localhost ACK# : 4 SEQ# 5
SND  | PKT: DATA DEST: localhost ACK# : 4 SEQ# 5
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 5 SEQ# 6
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 5 SEQ# 6
RECV | PKT: DATA DEST: localhost ACK# : 5 SEQ# 6
SND  | PKT: DATA DEST: localhost ACK# : 5 SEQ# 6
RECV | PKT: DATA DEST: localhost ACK# : 6 SEQ# 7
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 6 SEQ# 7
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 6 SEQ# 7
RECV | PKT: DATA DEST: localhost ACK# : 7 SEQ# 8
SND  | PKT: DATA DEST: localhost ACK# : 7 SEQ# 8
RECV | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
SND  | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 7 SEQ# 8
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 7 SEQ# 8
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 6 SEQ# 7
SND  | PKT: DATA DEST: localhost ACK# : 6 SEQ# 7
RECV | PKT: DATA DEST: localhost ACK# : 7 SEQ# 8
SND  | PKT: DATA DEST: localhost ACK# : 7 SEQ# 8
RECV | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
SND  | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 4 SEQ# 5
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 4 SEQ# 5
RECV | PKT: DATA DEST: localhost ACK# : 6 SEQ# 7
SND  | PKT: DATA DEST: localhost ACK# : 6 SEQ# 7
RECV | PKT: DATA DEST: localhost ACK# : 7 SEQ# 8
SND  | PKT: DATA DEST: localhost ACK# : 7 SEQ# 8
RECV | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
SND  | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 5 SEQ# 6
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 5 SEQ# 6
RECV | PKT: DATA DEST: localhost ACK# : 6 SEQ# 7
SND  | PKT: DATA DEST: localhost ACK# : 6 SEQ# 7
RECV | PKT: DATA DEST: localhost ACK# : 7 SEQ# 8
SND  | PKT: DATA DEST: localhost ACK# : 7 SEQ# 8
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 7 SEQ# 8
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 7 SEQ# 8
RECV | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
SND  | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 6 SEQ# 7
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 7 SEQ# 8
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 7 SEQ# 8
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
SND  | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 6 SEQ# 7
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 6 SEQ# 7
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 7 SEQ# 8
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 7 SEQ# 8
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
SND  | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 6 SEQ# 7
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 7 SEQ# 8
RECV | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
SND  | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
SND  | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
SND  | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
RECV | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
SND  | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
RECV | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
SND  | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 10 SEQ# 11
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 10 SEQ# 11
RECV | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
SND  | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
SND  | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 13 SEQ# 14
SND  | PKT: DATA DEST: localhost ACK# : 13 SEQ# 14
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 14 SEQ# 15
SND  | PKT: DATA DEST: localhost ACK# : 14 SEQ# 15
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 10 SEQ# 11
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 10 SEQ# 11
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
SND  | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 10 SEQ# 11
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 10 SEQ# 11
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
SND  | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 13 SEQ# 14
SND  | PKT: DATA DEST: localhost ACK# : 13 SEQ# 14
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 10 SEQ# 11
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 10 SEQ# 11
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 11 SEQ# 12
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 11 SEQ# 12
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 12 SEQ# 13
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 12 SEQ# 13
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
SND  | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 10 SEQ# 11
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 10 SEQ# 11
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 11 SEQ# 12
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 11 SEQ# 12
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
SND  | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
SND  | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 10 SEQ# 11
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 10 SEQ# 11
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
SND  | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
RECV | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
SND  | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
RECV | PKT: DATA DEST: localhost ACK# : 13 SEQ# 14
SND  | PKT: DATA DEST: localhost ACK# : 13 SEQ# 14
RECV | PKT: DATA DEST: localhost ACK# : 14 SEQ# 15
SND  | PKT: DATA DEST: localhost ACK# : 14 SEQ# 15
RECV | PKT: DATA DEST: localhost ACK# : 15 SEQ# 16
SND  | PKT: DATA DEST: localhost ACK# : 15 SEQ# 16
RECV | PKT: DATA DEST: localhost ACK# : 16 SEQ# 17
SND  | PKT: DATA DEST: localhost ACK# : 16 SEQ# 17
RECV | PKT: DATA DEST: localhost ACK# : 17 SEQ# 18
SND  | PKT: DATA DEST: localhost ACK# : 17 SEQ# 18
RECV | PKT: DATA DEST: localhost ACK# : 18 SEQ# 19
SND  | PKT: DATA DEST: localhost ACK# : 18 SEQ# 19
RECV | PKT: DATA DEST: localhost ACK# : 19 SEQ# 20
SND  | PKT: DATA DEST: localhost ACK# : 19 SEQ# 20
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 11 SEQ# 12
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 11 SEQ# 12
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
SND  | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
RECV | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
SND  | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
RECV | PKT: DATA DEST: localhost ACK# : 13 SEQ# 14
SND  | PKT: DATA DEST: localhost ACK# : 13 SEQ# 14
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
SND  | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
RECV | PKT: DATA DEST: localhost ACK# : 13 SEQ# 14
SND  | PKT: DATA DEST: localhost ACK# : 13 SEQ# 14
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 14 SEQ# 15
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 14 SEQ# 15
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 13 SEQ# 14
SND  | PKT: DATA DEST: localhost ACK# : 13 SEQ# 14
RECV | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
SND  | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
RECV | PKT: DATA DEST: localhost ACK# : 14 SEQ# 15
SND  | PKT: DATA DEST: localhost ACK# : 14 SEQ# 15
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 11 SEQ# 12
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 11 SEQ# 12
RECV | PKT: DATA DEST: localhost ACK# : 17 SEQ# 18
SND  | PKT: DATA DEST: localhost ACK# : 17 SEQ# 18
RECV | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
SND  | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 10 SEQ# 11
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 10 SEQ# 11
RECV | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
SND  | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 12 SEQ# 13
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 12 SEQ# 13
RECV | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
SND  | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 13 SEQ# 14
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 13 SEQ# 14
RECV | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
SND  | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
SND  | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
RECV | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
SND  | PKT: DATA DEST: localhost ACK# : 10 SEQ# 11
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
SND  | PKT: DATA DEST: localhost ACK# : 11 SEQ# 12
RECV | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
SND  | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 10 SEQ# 11
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 10 SEQ# 11
RECV | PKT: DATA DEST: localhost ACK# : 13 SEQ# 14
SND  | PKT: DATA DEST: localhost ACK# : 13 SEQ# 14
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 9 SEQ# 10
RECV | PKT: DATA DEST: localhost ACK# : 14 SEQ# 15
SND  | PKT: DATA DEST: localhost ACK# : 14 SEQ# 15
RECV | PKT: DATA DEST: localhost ACK# : 15 SEQ# 16
SND  | PKT: DATA DEST: localhost ACK# : 15 SEQ# 16
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 10 SEQ# 11
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 10 SEQ# 11
RECV | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
SND  | PKT: DATA DEST: localhost ACK# : 12 SEQ# 13
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 11 SEQ# 12
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 11 SEQ# 12
RECV | PKT: DATA DEST: localhost ACK# : 13 SEQ# 14
SND  | PKT: DATA DEST: localhost ACK# : 13 SEQ# 14
